,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.893,0.303,0.196,0.223,0.373,0.186,0.259,0.355,0.171,0.332,0.086,0.101,670 Read#1
B,0.777,0.308,0.192,0.225,0.372,0.18,0.255,0.357,0.179,0.276,0.087,0.087,670 Read#1
C,0.574,0.349,0.218,0.226,0.419,0.238,0.275,0.392,0.208,0.268,0.085,0.085,670 Read#1
D,0.451,0.334,0.22,0.228,0.387,0.243,0.269,0.373,0.204,0.254,0.09,0.084,670 Read#1
E,0.394,0.336,0.241,0.238,0.426,0.255,0.281,0.424,0.226,0.273,0.084,0.086,670 Read#1
F,0.382,0.37,0.218,0.24,0.391,0.246,0.287,0.481,0.204,0.258,0.085,0.086,670 Read#1
G,0.263,0.088,0.092,0.089,0.086,0.087,0.086,0.086,0.084,0.084,0.085,0.089,670 Read#1
H,0.168,0.086,0.086,0.086,0.086,0.085,0.086,0.085,0.085,0.085,0.085,0.088,670 Read#1
