Software Version,3.08.01,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\labuser\Desktop\Marci\MSC2_thrust2.4_growth.xpt,,,,,,,,,,,,,
Protocol File Path:,,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,7/22/24,,,,,,,,,,,,,
Time,5:47:47 PM,,,,,,,,,,,,,
Reader Type:,Synergy H1,,,,,,,,,,,,,
Reader Serial Number:,1709086,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,Nunclon 12 flat bottom (Use plate lid),,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Set Temperature,Setpoint 25°C,,,,,,,,,,,,,
,Preheat before moving to next step,,,,,,,,,,,,,
Start Kinetic,"Runtime 72:10:00 (HH:MM:SS), Interval 0:15:01, 289 Reads",,,,,,,,,,,,,
    Shake,Double Orbital: Continuous,,,,,,,,,,,,,
,Frequency: 180 cpm (6 mm),,,,,,,,,,,,,
    Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  600,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
End Kinetic,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
600,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Time,T° 600,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4
,0:14:51,25,0.081,0.345,0.32,0.081,0.083,0.316,0.302,0.083,0.083,0.353,0.308,0.083
,0:29:52,25.1,0.081,0.347,0.322,0.082,0.083,0.323,0.307,0.083,0.083,0.358,0.314,0.083
,0:44:53,25.2,0.081,0.351,0.329,0.081,0.083,0.324,0.316,0.083,0.083,0.366,0.316,0.083
,0:59:54,25.2,0.081,0.365,0.337,0.082,0.083,0.336,0.321,0.083,0.083,0.376,0.329,0.083
,1:14:55,25.2,0.081,0.372,0.351,0.082,0.082,0.348,0.332,0.082,0.082,0.389,0.337,0.082
,1:29:56,25.2,0.081,0.384,0.359,0.082,0.082,0.362,0.346,0.082,0.082,0.403,0.35,0.082
,1:44:57,25.2,0.081,0.399,0.372,0.082,0.083,0.375,0.359,0.083,0.083,0.417,0.363,0.083
,1:59:58,25.3,0.081,0.415,0.387,0.082,0.083,0.391,0.373,0.083,0.083,0.434,0.379,0.083
