,1,2,3,4,5,6,7,8,9,10,11,12
A,500uM,1000uM,500uM,250uM,125uM,62.5uM,31.25uM,15.6uM,7.8uM,3.9uM,1.95uM,0uM
B,400uM,1000uM,500uM,250uM,125uM,62.5uM,31.25uM,15.6uM,7.8uM,3.9uM,1.95uM,0uM
C,300uM,1000uM,500uM,250uM,125uM,62.5uM,31.25uM,15.6uM,7.8uM,3.9uM,1.95uM,0uM
D,200uM,,,,,,,,,,,
E,150uM,,,,,,,,,,,
F,100uM,,,,,,,,,,,
G,50uM,,,,,,,,,,,
H,0M,,,,,,,,,,,
,,,,,,,,,,,,
,Standards are NH4Cl ,,,,,,,,,,,
,S.pastruii at OD 1.0 ,,,,,,,,,,,
